model,scenario,n_steps,mean_crps,mean_rel_crps,cov_90,cov_90_err,cov_50,mean_width_90,mean_rel_width_90,mean_mae,mean_rel_mae,pit_ks_stat,pit_ks_pvalue
moirai-small,synth_REGIME_L1,400,2.312649471968885,3.307409923578998,0.895,0.0050000000000000044,0.59,14.957933617830276,22.218409588091536,3.050524140062218,4.441104980634225,0.07749900271834165,0.015495067580425806
moirai-small,synth_REGIME_L2,400,3.3179162545341154,5.70082135240863,0.82,0.08000000000000007,0.5525,17.38127265048027,27.342863189805467,4.304385081063448,7.361656696085827,0.08999986222130224,0.002865342070557611
moirai-small,synth_REGIME_L3,400,2.5471662791359435,3.9513674107588974,0.8775,0.022500000000000075,0.4475,16.29184445095062,24.167653180074012,3.53774456140289,5.564287494356823,0.15999950381888006,2.0594960317016343e-09
moirai-small,synth_REGIME_L4,400,2.82839431754863,4.801478198184924,0.8225,0.07750000000000001,0.395,13.878877200365064,22.96820995876127,3.884593833493541,6.640169246789074,0.14249995209346772,1.500338553495784e-07
moirai-small,synth_REGIME_L5,400,3.245315536368898,4.609983699256431,0.9025,0.0024999999999999467,0.4325,18.37535871386528,29.64582546451603,4.565561081559997,6.638927799986284,0.08999950561200082,0.0028654903510975634
moirai-small,synth_TAIL_L1,400,2.0335829986758016,1.8827890342793847,0.885,0.015000000000000013,0.5225,11.317602492332458,10.785399627023148,2.7884035766244235,2.599831818652419,0.14249908558190105,1.500638430247924e-07
moirai-small,synth_TAIL_L2,400,1.461174295623191,1.4843743124897362,0.9575,0.057499999999999996,0.52,11.156013366222382,11.278347513362245,2.087870178856399,2.121789248917494,0.0649990169660355,0.06512419538525438
moirai-small,synth_TAIL_L3,400,1.9770962258717624,2.030758439179106,0.865,0.03500000000000003,0.36,10.7853962893486,11.162140555254892,2.8702482325693293,2.9407533206113294,0.08749916824938125,0.004098068086609307
moirai-small,synth_TAIL_L4,400,1.4576637162063202,1.3519179848161575,0.9575,0.057499999999999996,0.6125,11.936462946414945,11.061672153983682,2.00930341860629,1.8849358594118484,0.10999959837659878,0.0001137897931944816
moirai-small,synth_TAIL_L5,400,2.3644193792233485,2.180150249646814,0.83,0.07000000000000006,0.46,9.065751077651976,8.92727808747939,3.0298963599509183,2.880881267924698,0.07249955286685439,0.028359796008421978
